"ENSG_id","Symbol"
"ENSG00000235052.1","RP1-150O5.3"
"ENSG00000236810.4","TCEB3-AS1"
"ENSG00000232557.3","RP11-4M23.3"
"ENSG00000225315.2","RP11-293P20.2"
"ENSG00000230703.1","RP11-293P20.4"
"ENSG00000230023.2","RP11-10N16.2"
"ENSG00000232298.2","RP11-10N16.3"
"ENSG00000264443.1","RP4-594I10.3"
"ENSG00000229162.1","RP11-84D1.1"
"ENSG00000261025.1","RP11-84D1.2"
"ENSG00000233755.1","RP4-799D16.1"
"ENSG00000231953.1","RP4-706G24.1"
"ENSG00000272432.1","RP3-465N24.6"
"ENSG00000225643.1","RP11-70P17.1"
"ENSG00000233478.1","RP1-187B23.1"
"ENSG00000228172.4","RP1-317E23.3"
"ENSG00000272478.1","RP1-317E23.7"
"ENSG00000236528.1","RP1-125I3.2"
"ENSG00000236782.4","RP11-96L14.7"
"ENSG00000225891.1","RP3-476K8.3"
"ENSG00000260063.1","RP5-968P14.2"
"ENSG00000226698.1","RP1-50O24.6"
"ENSG00000224311.1","RP11-40H20.4"
"ENSG00000241169.1","RP4-752I6.1"
"ENSG00000237429.1","RP1-159A19.4"
"ENSG00000233975.1","RP11-288L9.1"
"ENSG00000225886.2","RP11-288L9.4"
"ENSG00000269971.1","RP3-426I6.5"
"ENSG00000270031.1","RP3-426I6.6"
"ENSG00000227050.1","RP11-460I13.2"
"ENSG00000270605.1","RP5-1092A3.4"
"ENSG00000271398.1","RP5-1092A3.5"
"ENSG00000242125.3","SNHG3"
"ENSG00000279443.1","RP4-669K10.8"
"ENSG00000197989.12","SNHG12"
"ENSG00000229388.1","RP11-442N24__B.1"
"ENSG00000270103.3","RNU11"
"ENSG00000233427.1","RP1-212P9.3"
"ENSG00000225750.1","RP11-242O24.3"
"ENSG00000237934.1","RP11-467D18.2"
"ENSG00000230523.1","RP3-437I16.1"
"ENSG00000228176.1","RP4-656G21.1"
"ENSG00000233399.2","RP11-111I12.1"
"ENSG00000233372.1","RP5-893G23.1"
"ENSG00000236335.1","RP4-591L5.1"
"ENSG00000231949.1","RP4-591L5.2"
"ENSG00000186056.8","MATN1-AS1"
"ENSG00000229607.1","RP5-1125N11.1"
