logFC AveExpr t P.Value adj.P.Val B Symbol ENSG_id
ENSG00000259933.6 2.74364847723392 2.53644036384234 23.5801006582173 2.62009651629354e-89 6.13971925592287e-88 192.856586410478 RP11-304L19.1 ENSG00000259933.6
ENSG00000272405.1 4.54751513695911 0.651741293530956 23.6249199582444 3.18145051605729e-89 7.42095223584923e-88 192.668173511727 RP11-284F21.10 ENSG00000272405.1
ENSG00000259658.3 -4.44370552556525 -0.810385110790316 -23.5194473567173 5.67095177011641e-89 1.31275218897004e-87 192.085987957919 RP11-89K11.1 ENSG00000259658.3
ENSG00000254290.1 4.95686377422209 0.0129941746775635 23.1791751087867 8.5148627345614e-87 1.85298475058109e-85 187.089421432141 RP11-150O12.3 ENSG00000254290.1
ENSG00000267254.5 -3.43303007129292 -0.907071152613805 -23.0648471600282 1.83974384319125e-86 3.9640243400964e-85 186.315678769523 ZNF790-AS1 ENSG00000267254.5
ENSG00000253414.2 5.41709129802907 -1.06072626653608 23.0391239630696 3.01117759865041e-86 6.43354541560391e-85 185.825189842385 RP11-150O12.6 ENSG00000253414.2
ENSG00000229619.3 -3.33081633708424 1.41396363194508 -22.8718886463076 2.92566086734173e-85 6.16449675846659e-84 183.557216352587 MBNL1-AS1 ENSG00000229619.3
ENSG00000279041.1 -3.39667321430369 0.0484861360216495 -22.798888746294 5.39148241849962e-85 1.13132137956275e-83 182.944855961107 CTD-2373N4.3 ENSG00000279041.1
ENSG00000206417.8 -2.63364490123905 0.0966979115182457 -22.5404240874047 1.43075431052377e-83 2.87944023839579e-82 179.673142369698 H1FX-AS1 ENSG00000206417.8
ENSG00000268388.5 -3.60212932583853 3.41472022067021 -22.5863351835631 1.4706645264496e-83 2.95197201986692e-82 179.650286753117 FENDRR ENSG00000268388.5
ENSG00000277010.1 -4.08916145268364 -0.458664009515728 -22.4093755317407 7.52959517238591e-83 1.48020585508695e-81 178.016000592803 RP11-616M22.12 ENSG00000277010.1
ENSG00000248019.2 -2.42315706115632 0.0376379413588075 -22.3918955741835 9.39573935106239e-83 1.83994870090445e-81 177.795053691732 FAM13A-AS1 ENSG00000248019.2
ENSG00000166770.10 -2.95533431546165 1.97235413738392 -22.3965988443445 1.02760135378803e-82 1.99949727704545e-81 177.706828291387 ZNF667-AS1 ENSG00000166770.10
ENSG00000232803.1 3.33003107641782 0.414009789401634 22.3524101446195 1.57692995811142e-82 3.05280031865352e-81 177.278477683654 SLCO4A1-AS1 ENSG00000232803.1
ENSG00000232445.1 4.88205874000737 -0.500598454891701 22.3732671439559 1.76320916144214e-82 3.40477920984808e-81 177.169941024002 RP11-132A1.4 ENSG00000232445.1
ENSG00000172965.14 2.28861430121765 3.75220884093717 22.2690641428728 4.45013094302665e-82 8.43313633985982e-81 176.243091910444 MIR4435-2HG ENSG00000172965.14
ENSG00000261625.1 -4.1450614600832 -0.410478898686706 -22.2170472682388 9.27351920886737e-82 1.74435925439299e-80 175.511017541418 RP11-554A11.4 ENSG00000261625.1
ENSG00000267272.5 -2.80137317853084 -0.241129779692961 -22.173037523563 1.49995888215516e-81 2.80415107197023e-80 175.030596342428 LINC01140 ENSG00000267272.5
ENSG00000280237.1 -3.78355618884942 0.681759884609058 -22.1798652426054 2.14514839230089e-81 3.97621369678617e-80 174.677051418693 MIR4697HG ENSG00000280237.1
ENSG00000250742.1 -2.6572880546275 0.633018844770666 -22.0772900087463 5.03437639891105e-81 9.17555698511208e-80 173.82234253418 RP11-834C11.4 ENSG00000250742.1
ENSG00000176593.7 -2.74903214069345 -0.224407722756207 -21.7960688947644 1.75631225948241e-79 3.09382719612057e-78 170.277948328692 CTD-2368P22.1 ENSG00000176593.7
ENSG00000234456.7 -3.03732681888836 2.18446921658712 -21.8055599118634 2.08746701594922e-79 3.66869923137158e-78 170.107938530889 MAGI2-AS3 ENSG00000234456.7
ENSG00000280143.1 -3.50057516785991 3.62761899081614 -21.6522486635633 1.87231893797444e-78 3.20923880885394e-77 167.921096172814 AP000892.6 ENSG00000280143.1
ENSG00000273733.1 -4.42539057806377 -0.754092647025642 -21.5451143308753 4.41453533563848e-78 7.44129685581934e-77 167.061272454476 CTC-510F12.7 ENSG00000273733.1
ENSG00000281183.1 -2.94972832627959 -0.318905971466685 -21.5222363837605 5.54417398112022e-78 9.304331582177e-77 166.833439234902 NPTN-IT1 ENSG00000281183.1
ENSG00000230630.2 -2.8132929890071 -0.267334238747903 -21.4273005544972 1.8318804277722e-77 3.03423842841096e-76 165.640921937089 DNM3OS ENSG00000230630.2
ENSG00000272501.1 -2.0141009721403 -0.471421602030031 -21.4061383779841 2.39083072887267e-77 3.93018564320609e-76 165.375219536732 XXbac-BPG299F13.17 ENSG00000272501.1
ENSG00000223839.7 -3.2669315361893 -0.178353581113571 -21.1541653077152 5.67634853486888e-76 8.99197267906799e-75 162.215110709976 FAM95B1 ENSG00000223839.7
ENSG00000234753.5 4.48472240042217 -0.0342556194684194 21.1299103247733 1.26901092994008e-75 1.9875525396546e-74 161.416671631082 FOXP4-AS1 ENSG00000234753.5
ENSG00000261534.1 -2.37340382921106 0.0806147900576588 -21.0162149712418 3.20556298438945e-75 4.96455465247321e-74 160.487899608146 RP11-244O19.1 ENSG00000261534.1
ENSG00000233117.2 -3.59313280452567 -0.840615189143332 -20.9977766812849 4.03947500960957e-75 6.22446376480747e-74 160.2572033783 LINC00702 ENSG00000233117.2
ENSG00000205664.10 2.30043309157236 3.00899238198133 20.9596986946917 6.51114004977518e-75 9.96263204205821e-74 159.78090144965 RP11-706O15.1 ENSG00000205664.10
ENSG00000272189.1 4.53820121536098 -1.36296906293104 20.9045730427882 1.29923071248003e-74 1.96235292266168e-73 159.091652281098 RP3-325F22.5 ENSG00000272189.1
ENSG00000225889.7 -2.53036228430218 0.172093149691166 -20.7913884928478 5.36083132056888e-74 7.96294856818678e-73 157.677593718443 AC074289.1 ENSG00000225889.7
ENSG00000246985.7 -2.42904579895703 0.195322164770163 -20.7845212126751 5.84195698511499e-74 8.66916865835887e-73 157.591847141103 SOCS2-AS1 ENSG00000246985.7
ENSG00000276724.1 -2.5232390689412 -0.290340281275538 -20.7734793120797 6.70764519923294e-74 9.92484262990286e-73 157.45398710778 RP11-1000B6.7 ENSG00000276724.1
ENSG00000258441.1 -2.28052054080374 1.19148128910795 -20.6356392910816 3.75994936806222e-73 5.47309423757531e-72 155.734282786244 LINC00641 ENSG00000258441.1
ENSG00000225986.1 -4.80904803649139 0.936096526748485 -20.5567455556746 1.94778643933552e-72 2.78476870965918e-71 154.099171991977 UBXN10-AS1 ENSG00000225986.1
ENSG00000260296.1 -2.30570072344212 -0.595189316758263 -20.403648274595 6.80474173034345e-72 9.61169769411012e-71 152.84535600014 RP11-395I6.3 ENSG00000260296.1
ENSG00000257524.5 -3.1850357185654 1.587831013376 -20.4255143873256 7.54465707171909e-72 1.0646969808425e-70 152.745766595005 RP11-203J24.9 ENSG00000257524.5
ENSG00000272589.1 -3.59094446522075 -0.0809965446771315 -20.1577552731493 1.64883319820475e-70 2.23581781676563e-69 149.666596866777 ZSWIM8-AS1 ENSG00000272589.1
ENSG00000269930.1 -3.10826777752258 0.0424557377749969 -20.0145830868675 8.60947014607565e-70 1.13712092708558e-68 148.01669203118 RP11-932O9.9 ENSG00000269930.1
ENSG00000226287.7 2.47625989268087 1.77794732205241 20.0120918521326 8.87988299480359e-70 1.17182192980734e-68 147.985842597197 TMEM191A ENSG00000226287.7
