logFC AveExpr t P.Value adj.P.Val B Symbol
ENSG00000071539.13 4.00512059312419 1.20965577854948 38.5016903065935 7.71192130531479e-170 4.35723553750286e-167 377.928863015032 TRIP13
ENSG00000065325.12 -5.3613872824724 -0.0957059582667762 -38.3701133084747 3.62013428460023e-169 1.97232673255631e-166 376.385980488936 GLP2R
ENSG00000175785.12 -8.0047494968642 0.081509985258011 -38.5234314538801 5.18389106096195e-169 2.72690545293015e-166 376.032279792141 PRIMA1
ENSG00000111110.11 3.15602976564655 1.00070280336435 38.0417598347465 1.73191179495041e-167 8.80677147732281e-165 372.526648575401 PPM1H
ENSG00000198535.5 6.63756202240134 -1.6811805732128 37.7524498325346 5.28663546261657e-166 2.60153625749083e-163 369.11558827352 C2CD4A
ENSG00000100146.16 -8.68719863653428 -1.29730613783013 -37.6021487704827 3.1344989898196e-165 1.49427444030306e-162 367.339582326191 SOX10
ENSG00000034971.14 -8.43661554161345 -1.97228899770279 -37.2503869938491 2.04051167493471e-163 9.43272897003908e-161 363.172677538486 MYOC
ENSG00000127423.10 3.04566110138898 -0.283590273252986 37.1973053286558 3.83666565718475e-163 1.72142160589275e-160 362.542625800886 AUNIP
ENSG00000176533.12 -3.21823769769655 0.556213825399343 -37.1718966759623 5.19114113563987e-163 2.26259594354818e-160 362.240922196234 GNG7
ENSG00000204253.4 3.63189897786828 1.71278739770706 36.9362210899345 8.60497862179998e-162 3.64635969098774e-159 359.438926503224 HNRNPCP2
ENSG00000123560.13 -7.94229965912453 0.33241345673534 -36.7090924194541 1.41590689006448e-159 5.83774583998206e-157 354.352538056868 PLP1
ENSG00000011426.10 3.70337142456145 1.88542747075196 36.2881223907676 2.00692913076669e-158 8.0567641815384e-156 351.700597675764 ANLN
ENSG00000235734.4 9.15515517591502 -3.54152523707639 36.1822212666328 7.15816304560517e-158 2.79994300668479e-155 350.431588069442 HMGN1P36
ENSG00000131746.12 6.08432381976419 1.43397056915728 36.1873140141753 4.53755906138405e-157 1.73051158703534e-154 348.593742185831 TNS4
ENSG00000137699.16 4.29659533989206 2.65481088803008 35.7474678794419 1.34191624954475e-155 4.99291033824516e-153 345.208756343043 TRIM29
ENSG00000186871.6 3.75226707265739 -0.999988033219638 35.6127249465071 6.82367862059736e-155 2.47845755612411e-152 343.585774377907 ERCC6L
ENSG00000165490.12 3.65943425681365 -0.414855981399531 35.5863647181602 9.38198150828641e-155 3.32842157927696e-152 343.268030185215 DDIAS
ENSG00000168309.16 -4.62045655400634 1.76037259493486 -35.5041334946906 3.38234804549375e-154 1.17267544168198e-151 341.989081442756 FAM107A
ENSG00000136546.13 -7.75296367791832 -0.64582302595887 -35.5185055322849 5.26170267664133e-154 1.78371720738141e-151 341.549822055637 SCN7A
ENSG00000120057.4 -8.0787859471672 -0.922914637003521 -35.4851599462273 5.58871127691148e-154 1.85338675063662e-151 341.488690540091 SFRP5
ENSG00000068489.12 4.00753547283016 1.03567694824534 35.4073405510544 8.17077518963698e-154 2.65202501101941e-151 341.108064721451 PRR11
ENSG00000071991.8 -7.52418879159477 -1.44255018630161 -35.399162636816 9.02064919471365e-154 2.86687507219493e-151 341.009312480978 CDH19
ENSG00000128482.15 -4.58164123880512 0.0939229796760438 -35.3925563684326 9.77137575422788e-154 3.04208851287237e-151 340.929533278889 RNF112
ENSG00000141338.13 -6.40423753803138 0.710752559630889 -35.5184739582514 1.23060425406978e-153 3.75457357916689e-151 340.704302821303 ABCA8
ENSG00000172031.6 4.34498388949744 -0.333354525310247 35.2027538303408 9.73427564018675e-153 2.91169362531468e-150 338.635390918078 EPHX4
ENSG00000118432.12 -6.38363825671107 -1.08175437113742 -35.097441971913 3.49112928696213e-152 1.02417648601168e-149 337.360800243447 CNR1
ENSG00000154258.16 -5.60664757662888 -0.528495968497557 -34.9756783985146 1.53081213806064e-151 4.40613946530472e-149 335.885602989356 ABCA9
ENSG00000196616.12 -7.86050296218651 2.96270406974142 -35.1627661374082 2.04988107351549e-151 5.79091403268126e-149 335.601660978786 ADH1B
ENSG00000216866.5 4.15967142754471 0.604841205509149 34.9320321463922 2.60135260935653e-151 7.21520619195162e-149 335.356429563869 RPS2P55
ENSG00000149451.17 -6.69080569663147 2.5232468633562 -35.0978738567227 3.74676126621011e-151 1.02065791278634e-148 334.999255458274 ADAM33
ENSG00000018625.14 -7.00069158091528 0.613860506860935 -34.9568801036869 1.54177356190468e-150 4.12627292751857e-148 333.586647858351 ATP1A2
ENSG00000163032.11 4.6520949467612 1.26596621629292 34.7489385641448 2.85356168526616e-150 7.50535922564401e-148 332.966584531448 VSNL1
ENSG00000124440.15 -5.73799181393337 1.64584682509743 -34.8162525263321 6.10566952879203e-150 1.5786777739275e-147 332.212169789343 HIF3A
ENSG00000162706.12 -6.30406178309347 0.37456072047168 -34.7787079448347 6.50918855928488e-150 1.65496119119818e-147 332.147133530901 CADM3
ENSG00000172005.10 -5.95855285952197 1.01718193581385 -34.6883528565309 2.61982588782275e-149 6.55171211782558e-147 330.758332087959 MAL
ENSG00000015413.9 7.99475414395021 1.50039361067033 34.6325700353135 1.17349146494134e-148 2.88735682220647e-146 329.264361955139 DPEP1
ENSG00000105976.14 3.30820997696595 2.86475104263343 34.4239534791031 1.26549480097945e-148 3.06430526808596e-146 329.181516447771 MET
ENSG00000067840.12 -5.1725015834018 0.453615956360466 -34.3489844613058 3.74753059416222e-148 8.93259050217886e-146 328.098547423059 PDZD4
ENSG00000153902.13 -5.08613707857137 2.8752429202048 -34.3601210354372 1.06519532758737e-147 2.49993149574543e-145 327.059620910914 LGI4
ENSG00000224958.5 -10.2030251489892 -0.405112988727908 -34.3471416985323 3.36948823554237e-147 7.78811258078771e-145 325.913385289412 PGM5-AS1
ENSG00000167549.18 -5.89394037531034 1.04258923961078 -34.2813862839411 3.65890730808895e-147 8.33084044550701e-145 325.828914425323 CORO6
ENSG00000276043.4 4.71202841800349 0.905621657613897 34.153795265089 3.73723939035785e-147 8.38405689704545e-145 325.802960947636 UHRF1
ENSG00000265688.1 2.99909065824062 0.0537850725772887 34.0352254917261 1.46554615532173e-146 3.24013139122217e-144 324.438898311323 MAFG-AS1
ENSG00000139629.15 3.90552244666583 2.15144901115662 34.0243360492028 1.67458765611891e-146 3.64940495629913e-144 324.30581944187 GALNT6
ENSG00000236081.1 8.44563465160793 -1.33748200586859 33.9012925298668 9.76180026550302e-146 2.0974121556373e-143 322.547163928595 ELFN1-AS1
ENSG00000173557.14 4.25711511941226 -0.522560737650991 33.8522664321831 1.37924262456119e-145 2.92227031078902e-143 322.20137084222 C2orf70
ENSG00000139734.17 4.73613951054081 -0.54786685158205 33.8099510731488 2.31758925823714e-145 4.84312659375447e-143 321.683385357903 DIAPH3
ENSG00000114346.13 3.22747274496089 2.94469053462606 33.8058371422505 2.4375514162188e-145 5.02497930465106e-143 321.63301678878 ECT2
ENSG00000171017.10 4.80581299975883 -0.784926301368131 33.7298357369502 6.19427157869114e-145 1.25991483910578e-142 320.702193642755 LRRC8E
ENSG00000196584.2 3.43463899307689 -0.919278319951427 33.7042466019998 8.48046384024148e-145 1.70222994582742e-142 320.388661595835 XRCC2
ENSG00000113594.9 -4.32206402572944 0.208346026231548 -33.6069521451961 2.80160548972954e-144 5.55045347348364e-142 319.195959178042 LIFR
ENSG00000173898.11 3.03311629330638 1.641062883201 33.5268524191186 7.49860303190664e-144 1.46655370835559e-141 318.213334380154 SPTBN2
