"ENSG_id","logFC","adj.P.Val","logrank.pvalue","beta","HR","CI","wald.test.test","HR.pvalue.pvalue","wald.test","HR.pvalue","Symbol"
"ENSG00000273137.1",-2.11466131256377,4.97186394328758e-49,0.0623585813799751,0.22,1.2,"(1.03-1.5)","5.02","0.0251",5.02,0.0251,"RP3-402G11.28"
"ENSG00000273142.1",-0.604277888651564,5.14314540517682e-08,0.0283083914963698,0.21,1.2,"(1.02-1.5)","4.75","0.0294",4.75,0.0294,"RP11-458F8.4"
"ENSG00000273145.1",0.61510266240767,2.65067820311664e-11,0.690956102041795,0.042,1,"(0.798-1.36)","0.09","0.758",0.09,0.758,"CITF22-92A6.1"
"ENSG00000273151.1",-0.338955179068689,0.00209976455760546,0.03161546728024,0.2,1.2,"(1.03-1.46)","5.25","0.022",5.25,0.022,"RP11-449P15.2"
"ENSG00000273179.1",-1.81420534581407,3.0735218546388e-30,0.32294263653714,0.18,1.2,"(1.02-1.41)","4.81","0.0283",4.81,0.0283,"RP11-20I20.4"
"ENSG00000273226.1",-0.357829763740551,0.000186900296704057,0.571501806075008,0.042,1,"(0.868-1.25)","0.2","0.654",0.2,0.654,"RP11-513M16.8"
"ENSG00000273271.1",-0.790727985879597,1.07186507798106e-16,0.580311144372806,0.05,1.1,"(0.885-1.25)","0.32","0.57",0.32,0.57,"AP000254.8"
"ENSG00000273314.1",0.680539799297494,5.97429578493407e-17,0.353773973452227,0.19,1.2,"(0.893-1.63)","1.5","0.221",1.5,0.221,"RP5-1136G13.2"
"ENSG00000273344.1",0.0939361725775982,0.335176431280678,0.223230041668714,0.22,1.2,"(0.936-1.65)","2.26","0.133",2.26,0.133,"PAXIP1-AS1"
"ENSG00000273373.1",-1.28991307690147,2.12924055418329e-26,0.138204584790125,0.11,1.1,"(0.945-1.32)","1.68","0.194",1.68,0.194,"RP5-1074L1.4"
"ENSG00000273437.1",-1.33324204444803,2.60213533943893e-24,0.0106244837969296,0.18,1.2,"(0.964-1.47)","2.62","0.105",2.62,0.105,"RP11-434H6.7"
"ENSG00000273456.1",-0.692892638114858,2.9326083935978e-11,0.769124172242237,0.22,1.2,"(0.995-1.56)","3.66","0.0557",3.66,0.0557,"RP11-686O6.2"
"ENSG00000273478.1",0.355773003117489,0.00160475059741651,0.17902323408951,0.099,1.1,"(0.874-1.39)","0.69","0.407",0.69,0.407,"RP11-465N4.5"
"ENSG00000273568.1",2.0846825841889,5.13193386677018e-34,0.104874543732138,0.057,1.1,"(0.859-1.31)","0.29","0.592",0.29,0.592,"RP11-417L19.6"
"ENSG00000273576.1",-1.00297663436621,5.17353477818728e-20,0.12887080277719,0.19,1.2,"(0.983-1.48)","3.22","0.0727",3.22,0.0727,"RP11-390P24.1"
"ENSG00000273619.1",0.314532549156519,0.00162634218700153,0.186562247586026,0.084,1.1,"(0.907-1.3)","0.83","0.362",0.83,0.362,"RP5-908M14.9"
"ENSG00000273723.1",-0.00929387175792525,0.940559675784166,0.27587025476004,0.049,1,"(0.889-1.24)","0.33","0.566",0.33,0.566,"RP11-93H24.3"
"ENSG00000273759.1",-0.236655082302676,0.0437834004376801,0.681537460902615,0.019,1,"(0.9-1.15)","0.09","0.769",0.09,0.769,"RP4-563E14.1"
"ENSG00000273893.1",0.414122651630781,1.92618966264641e-05,0.84917639394128,-0.066,0.94,"(0.804-1.09)","0.72","0.396",0.72,0.396,"RP1-101A2.1"
"ENSG00000274104.1",-0.0265184390088595,0.791600826344901,0.489896606448981,0.016,1,"(0.825-1.25)","0.02","0.88",0.02,0.88,"CTD-2553L13.10"
"ENSG00000274173.1",4.85246194264053,5.21506644752308e-51,0.753057725081751,0.025,1,"(0.87-1.21)","0.09","0.765",0.09,0.765,"RP4-568C11.4"
"ENSG00000274213.1",1.08403984231959,2.25871337139938e-12,0.416489859684441,0.016,1,"(0.874-1.18)","0.04","0.837",0.04,0.837,"RP11-670E13.6"
"ENSG00000274272.1",-1.25435516723816,1.66417092992701e-28,0.0179953203801822,0.41,1.5,"(1.17-1.96)","9.87","0.00168",9.87,0.00168,"RP11-44M6.7"
"ENSG00000274383.1",-0.48798632823925,0.000608607384957716,0.0175677088707691,0.12,1.1,"(0.995-1.28)","3.54","0.06",3.54,0.06,"CTD-2017F17.2"
"ENSG00000274561.1",-1.06399501569607,5.53799716105326e-25,0.486188433057516,0.027,1,"(0.893-1.18)","0.14","0.706",0.14,0.706,"RP11-147L13.12"
"ENSG00000274605.1",1.29617743010484,5.59860302084983e-32,0.86345743478559,-0.095,0.91,"(0.713-1.16)","0.58","0.448",0.58,0.448,"RP11-12G12.7"
"ENSG00000274828.1",-1.22376384040557,1.39212797594332e-37,0.422932406940618,0.044,1,"(0.792-1.38)","0.09","0.758",0.09,0.758,"RP11-567M16.6"
"ENSG00000274993.1",1.03994397194533,0.000273857360034682,0.678770501511023,-0.023,0.98,"(0.871-1.1)","0.15","0.699",0.15,0.699,"RP11-395B7.2"
"ENSG00000275180.1",-1.54226252373703,1.40658726279454e-29,0.128365709460694,0.11,1.1,"(0.95-1.31)","1.78","0.182",1.78,0.182,"RP11-631N16.4"
"ENSG00000275202.1",0.819571598959549,6.49129997624896e-19,0.091974030200002,-0.035,0.97,"(0.788-1.18)","0.11","0.736",0.11,0.736,"RP11-156K23.3"
"ENSG00000275234.1",3.2067737835096,6.40065637484446e-40,0.473210872101849,-0.0054,0.99,"(0.742-1.33)","0","0.971",0,0.971,"CTD-2396E7.11"
"ENSG00000275494.1",-1.51265241021129,6.44779405272764e-42,0.264603655086854,0.037,1,"(0.865-1.24)","0.16","0.689",0.16,0.689,"RP11-266L9.8"
"ENSG00000275560.1",0.106809771379707,0.37698618529289,0.389514515643965,0.028,1,"(0.887-1.19)","0.14","0.713",0.14,0.713,"RP11-180M15.7"
"ENSG00000275580.1",-0.27312428460193,0.00412950937258436,0.268464764364442,0.055,1.1,"(0.901-1.24)","0.46","0.498",0.46,0.498,"RP11-295H24.4"
"ENSG00000275632.1",0.564360684401032,6.34143544260871e-09,0.749774802386225,0.037,1,"(0.905-1.19)","0.27","0.6",0.27,0.6,"RP5-967N21.11"
