logrank.pvalue ENSG_id Symbol
ENSG00000197180.2 0.0945903929212305 ENSG00000197180.2 CH17-340M24.3
ENSG00000254635.4 0.925523964313492 ENSG00000254635.4 WAC-AS1
ENSG00000230061.2 0.766073392849197 ENSG00000230061.2 TRPM2-AS
ENSG00000269640.4 0.302436639423572 ENSG00000269640.4 CTD-2521M24.9
ENSG00000256537.3 0.265484798411727 ENSG00000256537.3 RP11-785H5.1
ENSG00000240449.1 0.678528717876565 ENSG00000240449.1 RP4-584D14.5
ENSG00000273014.1 0.702807436095312 ENSG00000273014.1 RP11-225B17.2
ENSG00000224597.8 0.447497210134142 ENSG00000224597.8 SVIL-AS1
ENSG00000273179.1 0.32294263653714 ENSG00000273179.1 RP11-20I20.4
ENSG00000263004.1 0.249608507009381 ENSG00000263004.1 RP11-166P13.3
ENSG00000249395.2 0.397255946689467 ENSG00000249395.2 CASC9
ENSG00000229334.1 0.669087197516083 ENSG00000229334.1 AC046143.3
ENSG00000260804.3 0.820599917175498 ENSG00000260804.3 PKI55
ENSG00000238123.1 0.402210249581551 ENSG00000238123.1 MID1IP1-AS1
ENSG00000196810.4 0.128035440173677 ENSG00000196810.4 CTBP1-AS2
ENSG00000253930.1 0.00787853699762847 ENSG00000253930.1 RP11-1149O23.2
ENSG00000266962.2 0.784395933706051 ENSG00000266962.2 RP11-400F19.6
ENSG00000271895.2 0.821960359959316 ENSG00000271895.2 RP4-635E18.8
ENSG00000188185.10 0.874244009764585 ENSG00000188185.10 LINC00265
ENSG00000267080.4 0.0216944910749984 ENSG00000267080.4 ASB16-AS1
ENSG00000260552.1 0.0551765983391892 ENSG00000260552.1 RP11-49I11.1
ENSG00000272644.1 0.471890844262045 ENSG00000272644.1 RP11-33O4.1
ENSG00000230082.1 0.940150933665374 ENSG00000230082.1 PRRT3-AS1
ENSG00000130600.14 0.756458582759817 ENSG00000130600.14 H19
ENSG00000227070.1 0.637199969135507 ENSG00000227070.1 RP11-191G24.1
ENSG00000277662.1 0.516638236494218 ENSG00000277662.1 RP11-74J13.9
ENSG00000254860.4 0.382292937916488 ENSG00000254860.4 TMEM9B-AS1
ENSG00000273344.1 0.223230041668714 ENSG00000273344.1 PAXIP1-AS1
ENSG00000251026.1 0.578506027836746 ENSG00000251026.1 RP11-138J23.1
ENSG00000265688.1 0.966555595618079 ENSG00000265688.1 MAFG-AS1
ENSG00000238142.1 0.745832271239167 ENSG00000238142.1 RP11-108M9.4
ENSG00000269910.1 0.0202031533092063 ENSG00000269910.1 RP11-73M18.10
ENSG00000204272.9 0.442491812715599 ENSG00000204272.9 LINC01420
ENSG00000261685.2 0.772896875625498 ENSG00000261685.2 RP11-401P9.4
ENSG00000226476.2 0.0935266526030587 ENSG00000226476.2 RP11-776H12.1
ENSG00000259943.1 0.641829573685774 ENSG00000259943.1 RP1-39G22.7
ENSG00000278133.1 0.299714171192008 ENSG00000278133.1 RP11-196G11.5
ENSG00000253187.2 0.208149012075487 ENSG00000253187.2 HOXA10-AS
ENSG00000272301.1 0.508834448556235 ENSG00000272301.1 RP11-111M22.4
ENSG00000281406.1 0.31824868560982 ENSG00000281406.1 BLACAT1
ENSG00000278978.1 0.418455371291355 ENSG00000278978.1 RP11-164P12.5
ENSG00000272556.1 0.648753554458358 ENSG00000272556.1 RP11-638I8.1
ENSG00000230177.1 0.516400697193563 ENSG00000230177.1 RP5-1112D6.4
ENSG00000275632.1 0.749774802386225 ENSG00000275632.1 RP5-967N21.11
ENSG00000180861.8 0.313271517981951 ENSG00000180861.8 LINC01559
ENSG00000261512.2 0.778035865061795 ENSG00000261512.2 RP11-46D6.1
ENSG00000231025.1 0.755799463882316 ENSG00000231025.1 RP11-175O19.4
ENSG00000241269.1 0.349635763877142 ENSG00000241269.1 AC093620.5
ENSG00000232442.1 0.0485357550536958 ENSG00000232442.1 CTD-3184A7.4
ENSG00000233461.4 0.718694482226404 ENSG00000233461.4 RP11-295G20.2
ENSG00000267100.1 0.780352035513806 ENSG00000267100.1 ILF3-AS1
ENSG00000267082.1 0.123217484832569 ENSG00000267082.1 CTC-510F12.2
ENSG00000236081.1 0.0200293364487156 ENSG00000236081.1 ELFN1-AS1
ENSG00000261188.1 0.792081850843816 ENSG00000261188.1 CTA-445C9.14
ENSG00000142396.9 0.721050141864486 ENSG00000142396.9 ERVK3-1
ENSG00000242086.7 0.370826862864473 ENSG00000242086.7 LINC00969
ENSG00000256185.1 0.753033799436837 ENSG00000256185.1 RP11-612B6.2
ENSG00000274828.1 0.422932406940618 ENSG00000274828.1 RP11-567M16.6
ENSG00000280798.1 0.649988359856878 ENSG00000280798.1 LINC00294
ENSG00000275560.1 0.389514515643965 ENSG00000275560.1 RP11-180M15.7
ENSG00000276529.1 0.128301560308221 ENSG00000276529.1 AP001505.10
ENSG00000228109.1 0.0425143154873879 ENSG00000228109.1 MFI2-AS1
ENSG00000253738.1 0.654556472877234 ENSG00000253738.1 OTUD6B-AS1
ENSG00000250222.1 0.237499564412217 ENSG00000250222.1 CTC-338M12.5
ENSG00000237721.1 0.953987179634665 ENSG00000237721.1 AF064858.11
ENSG00000260418.1 0.112796699129759 ENSG00000260418.1 RP3-406A7.7
ENSG00000240990.8 0.391497786833639 ENSG00000240990.8 HOXA11-AS
ENSG00000261650.1 0.373674557242414 ENSG00000261650.1 RP11-474D1.4
ENSG00000215039.5 0.0694446848914946 ENSG00000215039.5 CD27-AS1
ENSG00000269936.3 0.0203541215129473 ENSG00000269936.3 RP11-394O4.5
ENSG00000275216.1 0.227286900272608 ENSG00000275216.1 RP11-54H7.4
ENSG00000221990.4 0.954385147547673 ENSG00000221990.4 EXOC3-AS1
ENSG00000272645.2 0.0584843698778993 ENSG00000272645.2 RP11-504P24.8
ENSG00000260114.2 0.744996215208714 ENSG00000260114.2 CTD-2574D22.4
ENSG00000266208.1 0.675631326249563 ENSG00000266208.1 CTD-2267D19.3
ENSG00000241388.4 0.765450131834243 ENSG00000241388.4 HNF1A-AS1
ENSG00000269609.4 0.0155234215764862 ENSG00000269609.4 RPARP-AS1
ENSG00000277283.1 0.295159686461064 ENSG00000277283.1 RP1-267D11.6
ENSG00000267045.1 0.493914238784363 ENSG00000267045.1 AC006126.4
ENSG00000196756.10 0.187210568685492 ENSG00000196756.10 SNHG17
ENSG00000222033.1 0.818298166363907 ENSG00000222033.1 LINC01124
ENSG00000222001.2 0.231405548326789 ENSG00000222001.2 AC106876.2
ENSG00000270223.1 0.509987611405781 ENSG00000270223.1 RP13-36G14.4
ENSG00000214401.4 0.81994949047822 ENSG00000214401.4 KANSL1-AS1
ENSG00000238279.1 0.222626442813869 ENSG00000238279.1 BX470102.3
ENSG00000267896.1 0.0748594734057473 ENSG00000267896.1 AC018766.4
ENSG00000269386.4 0.193165756597788 ENSG00000269386.4 RAB11B-AS1
ENSG00000227540.1 0.47315667413351 ENSG00000227540.1 RP11-152N13.5
ENSG00000254343.2 0.810695376197998 ENSG00000254343.2 RP11-760H22.2
ENSG00000258837.1 0.23951117050059 ENSG00000258837.1 CTD-2566J3.1
ENSG00000272449.1 0.167176418600462 ENSG00000272449.1 RP3-395M20.12
ENSG00000267480.1 0.474571780193234 ENSG00000267480.1 RP11-703I16.1
ENSG00000260196.1 0.701673275680721 ENSG00000260196.1 RP1-239B22.5
ENSG00000271147.6 0.943896390065837 ENSG00000271147.6 RP4-769N13.6
ENSG00000189223.12 0.706176341811835 ENSG00000189223.12 PAX8-AS1
ENSG00000257556.1 0.45597383747707 ENSG00000257556.1 RP11-44N21.1
ENSG00000236753.4 0.246960754538661 ENSG00000236753.4 MKLN1-AS
ENSG00000272010.1 0.851799614673265 ENSG00000272010.1 CTD-3025N20.3
ENSG00000274605.1 0.86345743478559 ENSG00000274605.1 RP11-12G12.7
ENSG00000270006.2 0.388985410501274 ENSG00000270006.2 RP11-178L8.7
ENSG00000269293.2 0.350479496745655 ENSG00000269293.2 ZSCAN16-AS1
ENSG00000233559.1 0.0874749053145254 ENSG00000233559.1 AC016831.7
ENSG00000273314.1 0.353773973452227 ENSG00000273314.1 RP5-1136G13.2
ENSG00000255284.1 0.08885962098574 ENSG00000255284.1 AP006621.5
ENSG00000278192.1 0.150067412608407 ENSG00000278192.1 RP5-1056H1.2
ENSG00000271737.1 0.511072370503193 ENSG00000271737.1 CTB-113I20.2
ENSG00000259065.1 0.00415462842260693 ENSG00000259065.1 RP5-1021I20.1
ENSG00000279088.1 0.508852236213344 ENSG00000279088.1 RP11-574K11.24
ENSG00000279789.1 0.548209108210759 ENSG00000279789.1 CTD-2574D22.3
ENSG00000177337.6 0.479986043825888 ENSG00000177337.6 DLGAP1-AS1
ENSG00000177406.4 0.164985908204784 ENSG00000177406.4 RP11-218M22.1
ENSG00000253522.3 0.642894443310222 ENSG00000253522.3 CTC-231O11.1
ENSG00000226179.4 0.133448249609948 ENSG00000226179.4 LINC00685
ENSG00000223478.1 0.101202327072907 ENSG00000223478.1 RP11-545E17.3
ENSG00000272660.1 0.958991194412678 ENSG00000272660.1 RP11-145M9.6
ENSG00000273437.1 0.0106244837969296 ENSG00000273437.1 RP11-434H6.7
ENSG00000116883.8 0.00377454770815146 ENSG00000116883.8 RP11-268J15.5
ENSG00000259933.5 0.0871440919749797 ENSG00000259933.5 RP11-304L19.1
ENSG00000253508.1 0.233082419634095 ENSG00000253508.1 RP1-170O19.14
ENSG00000226067.5 0.619331406450114 ENSG00000226067.5 CH17-118O6.2
ENSG00000218510.5 0.682862461297384 ENSG00000218510.5 LINC00339
ENSG00000234741.6 0.540815769148679 ENSG00000234741.6 GAS5
ENSG00000206337.9 0.903801379937805 ENSG00000206337.9 HCP5
ENSG00000228439.4 0.454631905090916 ENSG00000228439.4 TSTD3
ENSG00000270189.1 0.479978984892558 ENSG00000270189.1 RP11-258C19.7
ENSG00000263731.1 0.565518921612706 ENSG00000263731.1 RP11-498C9.15
ENSG00000281332.1 0.506010778405373 ENSG00000281332.1 LINC00997
ENSG00000259972.2 0.777515795443418 ENSG00000259972.2 AC009120.6
ENSG00000254682.1 0.288156611896092 ENSG00000254682.1 RP11-660L16.2
ENSG00000267709.1 0.986877445957432 ENSG00000267709.1 AC024592.9
ENSG00000172965.13 0.0350130098761362 ENSG00000172965.13 MIR4435-1HG
ENSG00000263072.4 0.74565424939131 ENSG00000263072.4 ZNF213-AS1
ENSG00000239213.4 0.493886972697698 ENSG00000239213.4 NCK1-AS1
ENSG00000228452.1 0.516491947054481 ENSG00000228452.1 RP5-994D16.9
ENSG00000224081.6 0.558628233514355 ENSG00000224081.6 LINC01057
ENSG00000272106.1 0.437775166137237 ENSG00000272106.1 RP11-345P4.9
ENSG00000269893.5 0.326698562274102 ENSG00000269893.5 SNHG8
ENSG00000231663.1 0.625518094245119 ENSG00000231663.1 RP5-827C21.4
ENSG00000254911.3 0.638785085060113 ENSG00000254911.3 SCARNA9
ENSG00000251022.5 0.858053359675987 ENSG00000251022.5 THAP9-AS1
ENSG00000272913.1 0.450265915369598 ENSG00000272913.1 RP11-440D17.3
ENSG00000263588.1 0.607118199250693 ENSG00000263588.1 RP11-595B24.2
ENSG00000262188.1 0.867053645178093 ENSG00000262188.1 RP11-353N14.4
ENSG00000272087.1 0.44498406550169 ENSG00000272087.1 RP11-379F4.7
ENSG00000279332.1 0.620891945894931 ENSG00000279332.1 RP11-799B12.1
ENSG00000224975.1 0.818401609957078 ENSG00000224975.1 INE1
ENSG00000268568.1 0.988305880744355 ENSG00000268568.1 AC007228.9
ENSG00000244300.2 0.965442595548623 ENSG00000244300.2 GATA2-AS1
ENSG00000279495.1 0.962095558028855 ENSG00000279495.1 RP11-521B24.4
ENSG00000255062.1 0.388056353049197 ENSG00000255062.1 RP11-712L6.5
ENSG00000228801.5 0.170215277524546 ENSG00000228801.5 RP11-110G21.1
ENSG00000266469.1 0.117287615490837 ENSG00000266469.1 CTB-131K11.1
ENSG00000253982.1 0.192252834705343 ENSG00000253982.1 CTD-2336O2.1
ENSG00000179523.4 0.0821890864714849 ENSG00000179523.4 EIF3J-AS1
ENSG00000245849.5 0.359254629558385 ENSG00000245849.5 RAD51-AS1
ENSG00000274272.1 0.0179953203801822 ENSG00000274272.1 RP11-44M6.7
ENSG00000278730.1 0.245830938656874 ENSG00000278730.1 RP11-147L13.11
ENSG00000272523.1 0.0112543292244949 ENSG00000272523.1 LINC01023
ENSG00000259456.3 0.185859264422413 ENSG00000259456.3 ADNP-AS1
ENSG00000259366.1 0.487879867471355 ENSG00000259366.1 CTD-2647L4.4
ENSG00000223482.6 0.667786418225606 ENSG00000223482.6 NUTM2A-AS1
ENSG00000226137.5 0.879225764656853 ENSG00000226137.5 BAIAP2-AS1
ENSG00000232533.1 0.14919179788581 ENSG00000232533.1 AC093673.5
ENSG00000260032.1 0.534550857672322 ENSG00000260032.1 LINC00657
ENSG00000230555.2 0.10044436548614 ENSG00000230555.2 RP11-517P14.2
ENSG00000257303.1 0.539098838011083 ENSG00000257303.1 RP11-977G19.11
ENSG00000203993.4 0.0108877535754541 ENSG00000203993.4 ARRDC1-AS1
ENSG00000225377.4 0.846306522100471 ENSG00000225377.4 NRSN2-AS1
ENSG00000203688.4 0.547059747130304 ENSG00000203688.4 RP11-351J23.1
ENSG00000259976.1 0.252851105245957 ENSG00000259976.1 RP11-553L6.5
ENSG00000249007.1 0.538902942973538 ENSG00000249007.1 RP11-510N19.5
ENSG00000261295.1 0.522790749402009 ENSG00000261295.1 RP11-524D16__A.3
ENSG00000263272.1 0.00095914187511149 ENSG00000263272.1 CTC-524C5.2
ENSG00000233016.5 0.00435877459790234 ENSG00000233016.5 SNHG7
ENSG00000261455.1 0.167096473147523 ENSG00000261455.1 LINC01003
ENSG00000275764.1 0.658641955009772 ENSG00000275764.1 RP11-582E3.6
ENSG00000272440.1 0.48646480983344 ENSG00000272440.1 RP11-379F4.6
ENSG00000278768.1 0.0986053779447333 ENSG00000278768.1 BACE1-AS
ENSG00000258634.3 0.325369265669397 ENSG00000258634.3 RP4-773N10.4
ENSG00000265666.1 0.413270898036845 ENSG00000265666.1 RARA-AS1
ENSG00000226328.5 0.926902448569905 ENSG00000226328.5 NUP50-AS1
ENSG00000260231.1 0.863724632419887 ENSG00000260231.1 JHDM1D-AS1
ENSG00000227946.1 0.327467090717033 ENSG00000227946.1 AC007383.3
ENSG00000267221.1 0.398871906882347 ENSG00000267221.1 CTD-2132N18.2
ENSG00000268858.2 0.0359878909143602 ENSG00000268858.2 RP4-591C20.9
ENSG00000233429.8 0.801904314108001 ENSG00000233429.8 HOTAIRM1
ENSG00000272686.1 0.976181894230295 ENSG00000272686.1 RP11-390E23.6
ENSG00000267904.1 0.47609229151564 ENSG00000267904.1 CTC-429P9.5
ENSG00000248771.4 0.0627273035877361 ENSG00000248771.4 LINC01207
ENSG00000264577.1 0.364707922565201 ENSG00000264577.1 AC010761.8
ENSG00000275202.1 0.091974030200002 ENSG00000275202.1 RP11-156K23.3
ENSG00000273162.1 0.156918736046334 ENSG00000273162.1 RP11-108L7.15
ENSG00000260704.1 0.338362841128707 ENSG00000260704.1 LINC00543
ENSG00000273373.1 0.138204584790125 ENSG00000273373.1 RP5-1074L1.4
ENSG00000275494.1 0.264603655086854 ENSG00000275494.1 RP11-266L9.8
ENSG00000259342.1 0.90122125678172 ENSG00000259342.1 RP11-519G16.5
ENSG00000260766.1 0.313457024556138 ENSG00000260766.1 RP11-226L15.5
ENSG00000235029.1 0.604972190976842 ENSG00000235029.1 MNX1-AS2
ENSG00000230844.2 0.189782594249818 ENSG00000230844.2 ZNF674-AS1
ENSG00000269352.1 0.118272427256242 ENSG00000269352.1 PTOV1-AS2
ENSG00000257621.6 0.616076842396825 ENSG00000257621.6 PSMA3-AS1
ENSG00000261643.1 0.215568826593653 ENSG00000261643.1 RP11-529E10.6
ENSG00000188206.6 0.469309287035342 ENSG00000188206.6 HNRNPU-AS1
ENSG00000231365.4 0.511025980145966 ENSG00000231365.4 RP11-418J17.1
ENSG00000225329.2 0.525342305825294 ENSG00000225329.2 LHFPL3-AS2
ENSG00000261123.1 0.681911847200008 ENSG00000261123.1 RP11-304L19.3
ENSG00000245694.7 0.32128823443772 ENSG00000245694.7 CRNDE
ENSG00000237943.5 0.107298866778506 ENSG00000237943.5 PRKCQ-AS1
ENSG00000212694.7 0.0896669010730198 ENSG00000212694.7 LINC01089
ENSG00000265800.1 0.563022448868819 ENSG00000265800.1 RP11-649A18.5
ENSG00000278600.1 0.200608491366427 ENSG00000278600.1 RP11-81A1.6
ENSG00000261474.1 0.0387380224431892 ENSG00000261474.1 RP11-452L6.1
ENSG00000204860.4 0.559370903717768 ENSG00000204860.4 FAM201A
ENSG00000275964.1 0.953426429542784 ENSG00000275964.1 RP11-61K9.3
ENSG00000274104.1 0.489896606448981 ENSG00000274104.1 CTD-2553L13.10
ENSG00000248243.1 0.477652379372929 ENSG00000248243.1 RP11-93K22.13
ENSG00000225733.4 0.38433100553397 ENSG00000225733.4 FGD5-AS1
ENSG00000267751.4 0.32985163221563 ENSG00000267751.4 AC009005.2
ENSG00000267523.1 0.0486810291556694 ENSG00000267523.1 CTD-2537I9.12
ENSG00000235823.1 0.177992550203015 ENSG00000235823.1 OLMALINC
ENSG00000280120.1 0.362028633316903 ENSG00000280120.1 RP11-546D6.3
ENSG00000257660.4 0.991406729457433 ENSG00000257660.4 RP11-579D7.4
ENSG00000274993.1 0.678770501511023 ENSG00000274993.1 RP11-395B7.2
ENSG00000231412.2 0.333167986076348 ENSG00000231412.2 CTC-490G23.2
ENSG00000219545.8 0.909580593497464 ENSG00000219545.8 UMAD1
ENSG00000281398.1 0.846903187482657 ENSG00000281398.1 SNHG4
ENSG00000273893.1 0.84917639394128 ENSG00000273893.1 RP1-101A2.1
ENSG00000186594.11 0.931374205394023 ENSG00000186594.11 MIR22HG
ENSG00000268516.2 0.867753379333905 ENSG00000268516.2 CTD-3138B18.5
ENSG00000264575.1 0.902962778345093 ENSG00000264575.1 LINC00526
ENSG00000266402.3 0.470391578508352 ENSG00000266402.3 RP11-329L6.2
ENSG00000244649.3 0.681231026347813 ENSG00000244649.3 CTD-2377D24.6
ENSG00000229152.2 0.304594621567951 ENSG00000229152.2 ANKRD10-IT1
ENSG00000279672.1 0.330583215084121 ENSG00000279672.1 CMB9-55F22.1
ENSG00000236017.6 0.280019853080164 ENSG00000236017.6 ASMTL-AS1
ENSG00000263429.3 0.824039750086319 ENSG00000263429.3 LINC00675
ENSG00000271780.1 0.399036394577424 ENSG00000271780.1 RP11-1017G21.5
ENSG00000253352.7 0.884862953631422 ENSG00000253352.7 TUG1
ENSG00000255737.2 0.141807638939484 ENSG00000255737.2 AGAP2-AS1
ENSG00000225138.6 0.42159274601073 ENSG00000225138.6 CTD-2228K2.7
ENSG00000227053.1 0.584611074513209 ENSG00000227053.1 RP11-395B7.4
ENSG00000250266.1 0.504840307064688 ENSG00000250266.1 RP11-789C1.1
ENSG00000196696.11 0.349795771632514 ENSG00000196696.11 PDXDC2P
ENSG00000146521.8 0.2343562638014 ENSG00000146521.8 LINC01558
ENSG00000253948.1 0.430974566534754 ENSG00000253948.1 RP11-410L14.2
ENSG00000266036.1 0.97819491252144 ENSG00000266036.1 RP11-452I5.2
ENSG00000205664.9 0.54541763703934 ENSG00000205664.9 RP11-706O15.1
ENSG00000250899.3 0.65525105950857 ENSG00000250899.3 RP11-253E3.3
ENSG00000274383.1 0.0175677088707691 ENSG00000274383.1 CTD-2017F17.2
ENSG00000204282.4 0.00575630877028642 ENSG00000204282.4 TNRC6C-AS1
ENSG00000261068.2 0.267100209091574 ENSG00000261068.2 RP11-7K24.3
ENSG00000235453.6 0.369447659277623 ENSG00000235453.6 TOPORS-AS1
ENSG00000273015.2 0.480020305814057 ENSG00000273015.2 RP11-352M15.2
ENSG00000270039.1 0.887928658093482 ENSG00000270039.1 RP11-571M6.17
ENSG00000236871.5 0.172866920808214 ENSG00000236871.5 LINC00106
ENSG00000215256.3 0.52327592238137 ENSG00000215256.3 DHRS4-AS1
ENSG00000260920.2 0.0147037031902078 ENSG00000260920.2 RP1-228H13.5
ENSG00000271032.1 0.251509170887644 ENSG00000271032.1 CTD-2527I21.14
ENSG00000204685.6 0.381990904605515 ENSG00000204685.6 STARD7-AS1
ENSG00000247271.5 0.616412644331889 ENSG00000247271.5 ZBED5-AS1
ENSG00000266651.1 0.352992972085333 ENSG00000266651.1 RP11-138I1.3
ENSG00000178977.3 0.387932665958584 ENSG00000178977.3 LINC00324
ENSG00000247903.1 0.525727609773582 ENSG00000247903.1 RP11-421F16.3
ENSG00000273226.1 0.571501806075008 ENSG00000273226.1 RP11-513M16.8
ENSG00000268713.1 0.0664428631350294 ENSG00000268713.1 CTC-444N24.8
ENSG00000224961.1 0.487239490194629 ENSG00000224961.1 RP1-278O22.1
ENSG00000271122.1 0.502318139562435 ENSG00000271122.1 RP11-379H18.1
ENSG00000281649.1 0.407334343924804 ENSG00000281649.1 EBLN3
ENSG00000244701.1 0.0942984644048866 ENSG00000244701.1 RP5-894A10.2
ENSG00000267296.2 0.101537334875744 ENSG00000267296.2 CEBPA-AS1
ENSG00000269958.1 0.799851464626784 ENSG00000269958.1 RP11-73M18.8
ENSG00000244567.1 0.421575699830209 ENSG00000244567.1 AC096772.6
ENSG00000260740.2 0.532969186651643 ENSG00000260740.2 AC026471.6
ENSG00000267194.1 0.404769298385352 ENSG00000267194.1 RP1-193H18.2
ENSG00000247844.1 0.756887424070732 ENSG00000247844.1 CCAT1
ENSG00000235313.1 0.976352036328669 ENSG00000235313.1 HM13-IT1
ENSG00000234286.1 0.490019256808071 ENSG00000234286.1 AC006026.13
ENSG00000251562.6 0.0987609400982583 ENSG00000251562.6 MALAT1
ENSG00000276718.1 0.125814141498988 ENSG00000276718.1 RP1-102E24.10
ENSG00000248092.6 0.0893758203111675 ENSG00000248092.6 NNT-AS1
ENSG00000257084.1 0.93342951304889 ENSG00000257084.1 U47924.27
ENSG00000260401.1 0.650954549277147 ENSG00000260401.1 RP11-800A3.4
ENSG00000279806.1 0.194571819859912 ENSG00000279806.1 RP11-58O9.2
ENSG00000247095.2 0.00301387225966694 ENSG00000247095.2 MIR210HG
ENSG00000272894.4 0.808446905429169 ENSG00000272894.4 RP5-1159O4.1
ENSG00000234912.8 0.394788078032919 ENSG00000234912.8 SNHG20
ENSG00000203497.2 0.533543862545932 ENSG00000203497.2 PDCD4-AS1
ENSG00000174365.18 0.98659040496344 ENSG00000174365.18 SNHG11
ENSG00000261061.1 0.695348353398729 ENSG00000261061.1 RP11-303E16.2
ENSG00000266010.1 0.0868515586074569 ENSG00000266010.1 GATA6-AS1
ENSG00000263753.5 0.406496815244139 ENSG00000263753.5 LINC00667
ENSG00000280088.1 0.857637213982285 ENSG00000280088.1 RP11-135F9.3
ENSG00000235499.1 0.321562195322902 ENSG00000235499.1 AC073046.25
ENSG00000245970.2 0.157669301550235 ENSG00000245970.2 KB-1208A12.3
ENSG00000258199.1 0.553062413051485 ENSG00000258199.1 RP11-977G19.5
ENSG00000269176.2 0.914310413737965 ENSG00000269176.2 RP11-727F15.12
ENSG00000206573.7 0.554911904977698 ENSG00000206573.7 THUMPD3-AS1
ENSG00000261572.1 0.484621565665046 ENSG00000261572.1 RP11-384L8.1
ENSG00000240731.1 0.00910119370295455 ENSG00000240731.1 RP5-890O3.9
ENSG00000224397.4 0.446059683136202 ENSG00000224397.4 LINC01272
ENSG00000224138.1 0.662775811343112 ENSG00000224138.1 AC000123.4
ENSG00000229729.5 0.649143344486419 ENSG00000229729.5 RP11-159G9.5
ENSG00000214194.7 0.163519297989335 ENSG00000214194.7 LINC00998
ENSG00000265415.1 0.0352112256445634 ENSG00000265415.1 CTD-2510F5.4
ENSG00000236305.1 0.966562537769857 ENSG00000236305.1 RP11-126L15.4
ENSG00000261526.2 0.58712295143078 ENSG00000261526.2 CTB-31O20.2
ENSG00000271643.1 0.612383812655317 ENSG00000271643.1 RP11-10C24.3
ENSG00000267049.1 0.759871004242287 ENSG00000267049.1 AC002398.13
ENSG00000269867.1 0.208928533545188 ENSG00000269867.1 CTD-2583A14.8
ENSG00000254910.1 0.16974136218525 ENSG00000254910.1 RP11-326C3.7
ENSG00000235576.1 0.306748101883785 ENSG00000235576.1 AC092580.4
ENSG00000280128.1 0.0557843888363807 ENSG00000280128.1 XXbac-BPG283O16.9
ENSG00000248663.5 0.460938950031069 ENSG00000248663.5 LINC00992
ENSG00000272086.1 0.219120730867797 ENSG00000272086.1 CTD-2186M15.3
ENSG00000242125.3 0.808613416173002 ENSG00000242125.3 SNHG3
ENSG00000176912.3 0.680935835119018 ENSG00000176912.3 TYMSOS
ENSG00000277639.1 0.170993169883893 ENSG00000277639.1 RP11-295M3.4
ENSG00000248275.1 0.612534858916318 ENSG00000248275.1 TRIM52-AS1
ENSG00000259250.1 0.104571069158395 ENSG00000259250.1 RP11-50C13.1
