"","group","RP5.1021I20.1","RP11.440D17.3","MIR210HG","LINC00261","AC113189.5","CTB.25B13.12","AC114730.3"
"TCGA.D5.5539.01","Tumor",0.2881,2.6828,2.1378,4.7415,2.6805,2.5948,3.0199
"GTEX.13O3O.2526.SM.5L3DR","NonTumor",3.091,0.2277,0.517,-0.9406,3.027,2.3788,-0.2498
"GTEX.QDVN.1326.SM.48TZ3","NonTumor",-0.1187,0.7664,3.3759,3.0127,3.1195,2.1894,2.4753
"TCGA.AA.3506.01","Tumor",1.787,1.0007,2.0254,1.8683,2.9784,1.5415,1.2636
"TCGA.A6.5661.01","Tumor",-1.34251782063,-1.43053856368,2.95005437068,2.0348264429,1.97121848131,1.15120806062,-1.35477083193
"TCGA.RU.A8FL.01","Tumor",-0.6873,-9.9658,2.5413,-1.5522,2.6371,2.3222,2.7007
"TCGA.5M.AATE.01","Tumor",-3.6259,3.3787,-1.3921,-1.2481,2.2633,1.683,2.8442
"TCGA.AA.3712.11","NonTumor",0.346,1.6045,3.1908,4.4964,2.9013,2.7139,3.5274
"TCGA.A6.6648.01","Tumor",-0.9971,1.8524,0.5763,2.9432,1.4859,2.7487,2.6418
"GTEX.OXRL.1426.SM.3NM9E","NonTumor",2.0183,0.688,2.9488,-4.6082,4.5814,2.7636,-0.5125
"GTEX.R53T.1326.SM.48FCQ","NonTumor",-0.1031,2.0004,1.5563,3.2466,2.2901,2.2113,4.0073
"GTEX.ZVZP.2026.SM.57WB3","NonTumor",-0.8863,-1.7809,-0.8084,-9.9658,3.1669,1.9188,-9.9658
"TCGA.A6.5662.01","Tumor",-0.6416,2.8974,2.5536,2.3048,3.2692,2.6464,1.3846
"GTEX.QLQW.0426.SM.447A7","NonTumor",0.5955,1.3567,4.2616,0.9862,3.5779,2.753,3.002
"TCGA.DM.A1D8.01","Tumor",0.7407,1.9675,1.0293,1.5266,3.3393,2.6533,0.7579
"GTEX.P4QT.1426.SM.3NMCX","NonTumor",1.3167,1.2455,5.1555,1.5612,3.4984,2.9544,3.2251
"TCGA.D5.6539.01","Tumor",-0.7108,0.9862,3.5754,3.1294,2.4279,2.4675,1.6604
"TCGA.AZ.6599.01","Tumor",2.1313,-5.0116,2.6828,7.577,2.1378,2.4117,3.6006
"TCGA.G4.6299.01","Tumor",0.2642,2.7487,3.1062,3.0199,2.6783,3.623,2.8994
"TCGA.AZ.5403.01","Tumor",0.4233,0.6699,2.1114,0.9642,3.6195,2.1541,0.688
"TCGA.AD.5900.01","Tumor",0.0854,-1.9942,1.4962,-0.4325,3.9543,2.6579,-0.9132
"GTEX.SUCS.1026.SM.5CHTC","NonTumor",-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
"GTEX.11I78.1226.SM.5A5K6","NonTumor",-0.394,0.9862,3.9524,3.1011,2.7401,2.4649,3.5559
"TCGA.D5.6898.01","Tumor",0.4233,0.6145,2.826,-1.1811,2.118,2.8936,2.9432
"TCGA.AA.3489.01","Tumor",0.688,0.8726,3.3689,-0.1504,2.1378,1.8643,0.8164
"TCGA.DM.A1D7.01","Tumor",2.1894,0.0014,1.4335,4.3604,2.6232,2.96,1.9415
"GTEX.13VXT.2026.SM.5L3EW","NonTumor",0.7321,0.2154,1.2516,-0.9406,4.2556,2.4597,-1.2828
"GTEX.S4Q7.0826.SM.4AD5E","NonTumor",-0.5973,0.4967,3.3563,3.8044,2.1411,2.7657,3.3689
"TCGA.AA.A02Y.01","Tumor",-0.5332,0.4125,0.1903,3.6748,2.4571,1.0363,2.971
"TCGA.CM.6676.01","Tumor",1.736,2.3106,2.9375,0.1903,2.2051,3.0533,0.7058
"TCGA.CA.5797.01","Tumor",-0.0574,1.5854,2.3732,-0.8863,2.3222,1.8323,-0.4921
"GTEX.111YS.1826.SM.5GIEP","NonTumor",1.6045,0.1388,0.6145,-9.9658,4.5778,2.2051,-3.0469
"TCGA.AA.3496.01","Tumor",1.4547,2.651,2.2391,0.547,1.4808,2.2237,1.8323
"GTEX.ZYFG.1826.SM.5GZWX","NonTumor",3.011,0.4447,0.8408,-3.1714,3.8541,2.7993,-2.3147
"GTEX.X5EB.1126.SM.46MVV","NonTumor",-0.5756,0.8488,4.8905,3.9838,2.3251,2.7007,3.7992
"TCGA.NH.A8F7.06","Tumor",-0.6873,3.4648,3.3633,-0.0725,2.2175,2.667,3.002
"TCGA.NH.A8F7.01","Tumor",-1.1811,3.3828,-1.4305,-1.8836,1.3051,2.7139,0.9862
"GTEX.ZF29.1726.SM.4WKFV","NonTumor",2.2113,-0.1504,1.7489,-6.5064,3.8847,2.4701,-2.0529
"GTEX.146FQ.1926.SM.5NQBY","NonTumor",0.1124,1.5465,3.3535,2.9637,2.9674,2.0254,3.6894
"TCGA.AA.3712.01","Tumor",-1.4305,2.7117,2.0076,2.4117,1.5902,1.884,1.3454
