term beta HR CI wald.test HR.pvalue
1 stageii 1.01587244451488 2.76177183930008 0.635410098470738-12.0038754667388 1.3550643287139 0.175397062485938
2 stageiii 1.66435154582237 5.28224684391402 1.23629113231786-22.5692241824361 2.24623947305361 0.0246886731388811
3 stageiv 2.79134667145708 16.3029597560871 3.85338754211852-68.9747641272723 3.79295728808667 0.000148863769451705
123 TINCR 0.12 1.1  (0.881-1.44) 0.91 0.341
124 ENTPD3.AS1 -0.095 0.91  (0.484-1.71) 0.09 0.768
125 IL10RB.AS1 1 2.7  (0.708-10.4) 2.12 0.145
126 LINC01342 0.14 1.2  (0.789-1.68) 0.54 0.463
127 OSER1.AS1 0.02 1  (0.966-1.08) 0.53 0.468
128 FLJ37035 3 20  (0.528-768) 2.61 0.106
129 EPB41L4A.AS1 -0.0068 0.99  (0.928-1.06) 0.04 0.843
130 CCNT2.AS1 0.59 1.8  (0.839-3.86) 2.27 0.132
131 LINC01057 -0.085 0.92  (0.718-1.17) 0.46 0.5
132 DNAJC27.AS1 0.045 1  (0.049-22.3) 0 0.977
133 C5orf66 -0.17 0.84  (0.259-2.73) 0.08 0.772
134 HAGLR 0.045 1  (0.975-1.12) 1.59 0.208
135 LINC00403 -0.19 0.83  (0.529-1.29) 0.71 0.4
136 LINC01133 0.02 1  (0.993-1.05) 2.03 0.154
137 SLC25A5.AS1 -0.51 0.6  (0.24-1.52) 1.15 0.283
138 AC017104.6 0.99 2.7  (0.942-7.64) 3.42 0.0646
139 LINC01272 0.02 1  (0.861-1.21) 0.05 0.816
140 RP11.503C24.6 -0.11 0.9  (0.532-1.51) 0.17 0.679
141 ZMIZ1.AS1 0.65 1.9  (0.615-6.01) 1.26 0.261
142 SH3BP5.AS1 -0.013 0.99  (0.733-1.33) 0.01 0.934
143 LAMTOR5.AS1 -1.7 0.19  (0.0052-6.65) 0.85 0.357
144 TEX26.AS1 -2.1 0.12  (0.000174-84.2) 0.4 0.527
145 TMEM72.AS1 0.94 2.6  (0.000264-24800) 0.04 0.841
146 LINC00240 -1.4 0.24  (0.00289-19.7) 0.4 0.525
147 RP11.82L18.2 0.099 1.1  (0.965-1.26) 2.09 0.148
148 PGM5.AS1 -0.14 0.87  (0.575-1.3) 0.47 0.491
149 INE1 0.017 1  (0.901-1.15) 0.08 0.783
150 LINC00092 0.92 2.5  (0.229-27.4) 0.57 0.452
151 TAF1A.AS1 0.13 1.1  (0.675-1.92) 0.23 0.628
152 RP11.539I5.1 0.013 1  (0.668-1.54) 0 0.95
153 LHFPL3.AS2 0.021 1  (0.942-1.11) 0.26 0.607
154 XXbac.B476C20.9 -0.62 0.54  (0.256-1.12) 2.72 0.0989
155 PPP1R26.AS1 0.23 1.3  (0.973-1.62) 3.07 0.0796
156 SFTA1P 1 2.8  (1.52-5.03) 11 0.000897
157 BOLA3.AS1 0.29 1.3  (1-1.77) 3.95 0.047
158 RFPL1S -0.51 0.6  (9.83e-06-36800) 0.01 0.928
159 JPX 0.022 1  (0.912-1.14) 0.14 0.71
160 LINC00475 1.2 3.3  (0.0265-421) 0.24 0.625
161 CADM3.AS1 0.57 1.8  (0.258-12) 0.34 0.562
162 FGD5.AS1 -0.027 0.97  (0.946-1) 3.32 0.0685
163 PLAC4 -0.36 0.7  (0.33-1.47) 0.9 0.344
164 DBH.AS1 0.29 1.3  (0.937-1.89) 2.55 0.11
165 MIAT 0.032 1  (0.85-1.25) 0.1 0.747
166 TRAM2.AS1 -0.032 0.97  (0.78-1.2) 0.08 0.772
167 RUSC1.AS1 0.015 1  (0.905-1.14) 0.06 0.803
168 LINC00115 0.51 1.7  (1.01-2.71) 4.05 0.0442
169 SATB2.AS1 -0.017 0.98  (0.909-1.06) 0.17 0.682
170 UBXN10.AS1 -0.11 0.9  (0.694-1.17) 0.63 0.426
171 ZNF503.AS1 0.049 1.1  (0.932-1.18) 0.66 0.418
172 LINC00937 -0.75 0.47  (0.00731-30.2) 0.13 0.722
173 BAIAP2.AS1 -0.0096 0.99  (0.894-1.1) 0.03 0.854
174 LINC00685 0.078 1.1  (0.931-1.25) 1.04 0.307
175 TMEM191A -0.024 0.98  (0.849-1.12) 0.11 0.741
176 CFLAR.AS1 -0.2 0.82  (0.516-1.31) 0.69 0.407
177 NUP50.AS1 -0.022 0.98  (0.854-1.12) 0.1 0.753
178 RP11.157P1.4 0.063 1.1  (0.959-1.18) 1.39 0.239
179 HAGLROS -0.0089 0.99  (0.82-1.2) 0.01 0.927
180 SLC16A1.AS1 0.25 1.3  (0.729-2.27) 0.75 0.385
181 CTA.292E10.6 0.095 1.1  (0.478-2.53) 0.05 0.823
182 PLCG1.AS1 -0.31 0.73  (0.286-1.87) 0.43 0.511
183 TEX41 0.82 2.3  (0.1-51.7) 0.27 0.606
184 ENTPD1.AS1 -1 0.35  (0.0333-3.74) 0.75 0.387
185 PSMD5.AS1 0.16 1.2  (1.01-1.37) 4.24 0.0394
186 KIAA0125 0.61 1.8  (1.11-3.03) 5.62 0.0178
187 LINC01359 -0.43 0.65  (0.176-2.42) 0.41 0.523
188 DANCR -0.022 0.98  (0.957-0.999) 4.1 0.0429
189 SLC8A1.AS1 -2 0.14  (0.000643-30) 0.52 0.472
190 ITGB2.AS1 0.31 1.4  (1.09-1.72) 7.4 0.00652
191 C14orf132 0.16 1.2  (0.869-1.58) 1.09 0.297
192 LINC00595 -1.7 0.19  (0.000793-44) 0.36 0.547
193 ST7.AS1 -0.27 0.76  (0.411-1.41) 0.74 0.389
194 SMIM2.AS1 0.01 1  (0.919-1.11) 0.04 0.833
