"ENSG_id","beta","HR","CI","wald.test","HR.pvalue","Symbol"
"ENSG00000250786.1",-0.065,0.94," (0.819-1.07)",0.88,0.349,"SNHG18"
"ENSG00000249572.1",-0.056,0.95," (0.866-1.03)",1.55,0.213,"CTD-2203K17.1"
"ENSG00000270460.1",0.012,1," (0.898-1.14)",0.04,0.839,"RP11-796E10.1"
"ENSG00000262001.1",-0.07,0.93," (0.757-1.15)",0.43,0.51,"DLGAP1-AS2"
"ENSG00000259291.2",0.018,1," (0.811-1.28)",0.02,0.875,"RP11-617F23.1"
"ENSG00000259623.1",-0.14,0.87," (0.664-1.14)",1.06,0.304,"RP11-156E6.1"
"ENSG00000262089.1",0.15,1.2," (0.917-1.46)",1.51,0.22,"RP11-589P10.5"
"ENSG00000268006.1",0.025,1," (0.664-1.58)",0.01,0.909,"PTOV1-AS1"
"ENSG00000236859.5",0.33,1.4," (0.987-1.95)",3.55,0.0595,"NIFK-AS1"
"ENSG00000226696.4",0.3,1.3," (1.07-1.7)",6.29,0.0121,"LENG8-AS1"
"ENSG00000230896.1",-0.069,0.93," (0.678-1.28)",0.18,0.671,"RP11-767N6.7"
"ENSG00000245532.5",0.062,1.1," (0.895-1.26)",0.49,0.483,"NEAT1"
"ENSG00000279382.1",0.05,1.1," (0.896-1.23)",0.38,0.538,"RP11-449J21.3"
"ENSG00000246089.3",-0.071,0.93," (0.692-1.25)",0.22,0.642,"RP11-115C21.2"
"ENSG00000259865.1",0.039,1," (0.909-1.19)",0.32,0.573,"RP11-488L18.10"
"ENSG00000256262.1",-0.13,0.88," (0.762-1.02)",2.98,0.0844,"USP30-AS1"
"ENSG00000228350.1",-0.0031,1," (0.921-1.08)",0.01,0.938,"CELSR3-AS1"
"ENSG00000225855.5",0.16,1.2," (0.95-1.45)",2.19,0.139,"RUSC1-AS1"
"ENSG00000258920.1",0.13,1.1," (0.888-1.47)",1.08,0.3,"FOXN3-AS1"
"ENSG00000227036.5",-0.081,0.92," (0.741-1.15)",0.53,0.467,"LINC00511"
"ENSG00000275234.1",0.042,1," (0.771-1.41)",0.07,0.786,"CTD-2396E7.11"
"ENSG00000253210.1",-0.062,0.94," (0.81-1.09)",0.66,0.418,"RP11-809O17.1"
"ENSG00000271020.1",-0.019,0.98," (0.868-1.11)",0.09,0.763,"RP11-10C24.1"
"ENSG00000255517.5",0.03,1," (0.803-1.32)",0.06,0.812,"CTD-3074O7.5"
"ENSG00000225969.1",-0.046,0.95," (0.825-1.11)",0.38,0.538,"ABHD11-AS1"
"ENSG00000273145.1",0.052,1.1," (0.8-1.39)",0.14,0.713,"CITF22-92A6.1"
"ENSG00000262370.4",-0.0035,1," (0.913-1.09)",0.01,0.937,"RP11-473M20.9"
"ENSG00000272405.1",0.028,1," (0.846-1.25)",0.08,0.775,"RP11-284F21.10"
"ENSG00000262049.1",0.22,1.2," (0.941-1.66)",2.36,0.125,"RP13-1032I1.7"
"ENSG00000267002.1",0.17,1.2," (0.916-1.55)",1.7,0.193,"RP11-242D8.1"
"ENSG00000260267.1",0.26,1.3," (0.944-1.79)",2.59,0.108,"RP11-452L6.5"
"ENSG00000205890.3",0.1,1.1," (0.926-1.33)",1.28,0.259,"RP11-473M20.5"
"ENSG00000231806.2",0.077,1.1," (0.896-1.3)",0.65,0.419,"PCAT7"
"ENSG00000232098.3",0.08,1.1," (0.799-1.47)",0.26,0.608,"CTD-2619J13.14"
"ENSG00000260025.1",-0.0064,0.99," (0.834-1.18)",0.01,0.943,"RP11-490M8.1"
"ENSG00000279059.1",0.068,1.1," (0.803-1.43)",0.21,0.643,"RP11-257O5.2"
"ENSG00000278876.1",0.068,1.1," (0.945-1.21)",1.15,0.283,"RP11-498C9.4"
"ENSG00000228343.1",-0.062,0.94," (0.794-1.11)",0.53,0.468,"RP11-1148L6.5"
"ENSG00000236452.1",-0.024,0.98," (0.918-1.04)",0.58,0.445,"AC123023.1"
"ENSG00000278709.1",0.09,1.1," (0.95-1.26)",1.56,0.211,"RP5-1059L7.1"
"ENSG00000255142.1",0.16,1.2," (1.04-1.32)",6.77,0.00927,"AP006621.6"
"ENSG00000260912.1",0.095,1.1," (0.907-1.33)",0.94,0.332,"RP11-363E7.4"
"ENSG00000239467.4",-0.033,0.97," (0.84-1.11)",0.21,0.644,"AC007405.6"
"ENSG00000226330.1",0.012,1," (0.841-1.22)",0.02,0.897,"RP11-739N20.2"
"ENSG00000228989.1",0.19,1.2," (0.945-1.54)",2.27,0.132,"AC133528.2"
"ENSG00000272275.1",0.24,1.3," (1.08-1.5)",8.04,0.00458,"RP11-791G15.2"
"ENSG00000204876.4",-0.062,0.94," (0.824-1.07)",0.86,0.354,"AC021218.2"
"ENSG00000261040.5",-0.089,0.91," (0.823-1.02)",2.77,0.0958,"WFDC21P"
"ENSG00000230733.2",0.23,1.3," (0.955-1.65)",2.65,0.104,"AC092171.4"
"ENSG00000273619.1",0.12,1.1," (0.931-1.36)",1.5,0.221,"RP5-908M14.9"
"ENSG00000228223.2",0.022,1," (0.887-1.18)",0.09,0.76,"HCG11"
"ENSG00000272338.2",0.022,1," (0.887-1.18)",0.09,0.765,"RP11-722E23.2"
"ENSG00000228705.1",-0.021,0.98," (0.896-1.07)",0.21,0.647,"LINC00659"
"ENSG00000216895.7",0.18,1.2," (0.914-1.56)",1.7,0.193,"AC009403.2"
"ENSG00000257702.3",0.39,1.5," (1.08-2.02)",5.84,0.0157,"LBX2-AS1"
"ENSG00000251580.1",-0.059,0.94," (0.834-1.07)",0.89,0.346,"RP11-539L10.3"
"ENSG00000271430.1",0.064,1.1," (0.905-1.26)",0.59,0.443,"RP3-368A4.5"
"ENSG00000231226.1",0.064,1.1," (0.896-1.27)",0.52,0.471,"TRIM31-AS1"
